date,open
2017/1/17,830.95
2017/1/18,909.37
2017/1/19,888.34
2017/1/20,898.17
2017/1/21,895.55
2017/1/22,922.21
2017/1/23,925.5
2017/1/24,910.68
2017/1/25,891.92
2017/1/26,902.4
2017/1/27,918.36
2017/1/28,919.81
2017/1/29,922.07
2017/1/30,920.15
2017/1/31,920.96
2017/2/1,970.94
2017/2/2,990
2017/2/3,1011.46
2017/2/4,1031.33
2017/2/5,1043.52
2017/2/6,1028.4
2017/2/7,1040.14
2017/2/8,1062.32
2017/2/9,1064.7
2017/2/10,995.63
2017/2/11,988.9
2017/2/12,1003.52
2017/2/13,998.89
2017/2/14,991.73
2017/2/15,1006.21
2017/2/16,1007.65
2017/2/17,1026.12
2017/2/18,1049.21
2017/2/19,1054.76
2017/2/20,1048.69
2017/2/21,1079.28
2017/2/22,1114.8
2017/2/23,1117.27
2017/2/24,1172.71
2017/2/25,1170.41
2017/2/26,1144.27
2017/2/27,1163.78
2017/2/28,1180.72
2017/3/1,1180.04
2017/3/2,1224.68
2017/3/3,1250.71
2017/3/4,1277.43
2017/3/5,1254.29
2017/3/6,1267.47
2017/3/7,1273.21
2017/3/8,1223.23
2017/3/9,1150.35
2017/3/10,1189.36
2017/3/11,1116.32
2017/3/12,1176.62
2017/3/13,1221.78
2017/3/14,1232.16
2017/3/15,1240.16
2017/3/16,1251.33
2017/3/17,1180.16
2017/3/18,1099.69
2017/3/19,976.73
2017/3/20,1037.24
2017/3/21,1055.36
2017/3/22,1120.65
2017/3/23,1050.05
2017/3/24,1038.45
2017/3/25,936.54
2017/3/26,974.02
2017/3/27,972.05
2017/3/28,1044.58
2017/3/29,1046.08
2017/3/30,1042.21
2017/3/31,1026.64
2017/4/1,1071.71
2017/4/2,1080.61
2017/4/3,1102.95
2017/4/4,1145.52
2017/4/5,1134.14
2017/4/6,1125.81
2017/4/7,1178.94
2017/4/8,1172.65
2017/4/9,1176.57
2017/4/10,1187.3
2017/4/11,1187.46
2017/4/12,1204.81
2017/4/13,1201.02
2017/4/14,1170.33
2017/4/15,1167.3
2017/4/16,1172.61
2017/4/17,1183.25
2017/4/18,1193.77
2017/4/19,1212.13
2017/4/20,1211.08
2017/4/21,1229.42
2017/4/22,1222.71
2017/4/23,1231.92
2017/4/24,1209.63
2017/4/25,1250.45
2017/4/26,1265.99
2017/4/27,1281.88
2017/4/28,1317.74
2017/4/29,1317.84
2017/4/30,1321.87
2017/5/1,1348.3
2017/5/2,1421.03
2017/5/3,1453.78
2017/5/4,1490.72
2017/5/5,1540.87
2017/5/6,1556.81
2017/5/7,1579.47
2017/5/8,1596.92
2017/5/9,1723.89
2017/5/10,1756.52
2017/5/11,1780.37
2017/5/12,1845.76
2017/5/13,1723.12
2017/5/14,1800.86
2017/5/15,1808.44
2017/5/16,1741.7
2017/5/17,1726.73
2017/5/18,1818.7
2017/5/19,1897.37
2017/5/20,1984.24
2017/5/21,2067.03
2017/5/22,2043.19
2017/5/23,2191.56
2017/5/24,2321.37
2017/5/25,2446.24
2017/5/26,2320.89
2017/5/27,2196.27
2017/5/28,2054.08
2017/5/29,2159.43
2017/5/30,2255.36
2017/5/31,2187.19
2017/6/1,2288.33
2017/6/2,2404.03
2017/6/3,2493.72
2017/6/4,2547.79
2017/6/5,2512.4
2017/6/6,2690.84
2017/6/7,2869.38
2017/6/8,2720.49
2017/6/9,2807.44
2017/6/10,2828.14
2017/6/11,2942.41
2017/6/12,2953.22
2017/6/13,2680.91
2017/6/14,2716.88
2017/6/15,2499.58
2017/6/16,2469.57
2017/6/17,2514.01
2017/6/18,2655.35
2017/6/19,2549.03
2017/6/20,2591.26
2017/6/21,2709.43
2017/6/22,2691.03
2017/6/23,2707.34
2017/6/24,2738.52
2017/6/25,2607.25
2017/6/26,2590.57
2017/6/27,2478.45
2017/6/28,2553.03
2017/6/29,2567.56
2017/6/30,2539.24
2017/7/1,2492.6
2017/7/2,2436.4
2017/7/3,2498.56
2017/7/4,2561
2017/7/5,2602.87
2017/7/6,2608.1
2017/7/7,2608.59
2017/7/8,2520.27
2017/7/9,2572.61
2017/7/10,2525.25
2017/7/11,2385.89
2017/7/12,2332.77
2017/7/13,2402.7
2017/7/14,2360.59
2017/7/15,2230.12
2017/7/16,1991.98
2017/7/17,1932.62
2017/7/18,2233.52
2017/7/19,2323.08
2017/7/20,2269.89
2017/7/21,2838.41
2017/7/22,2668.63
2017/7/23,2808.1
2017/7/24,2732.7
2017/7/25,2757.5
2017/7/26,2577.77
2017/7/27,2538.71
2017/7/28,2679.73
2017/7/29,2807.02
2017/7/30,2724.39
2017/7/31,2763.24
2017/8/1,2871.3
2017/8/2,2727.13
2017/8/3,2709.56
2017/8/4,2806.93
